scale_code,scale_name,question_no,question_text_cn,dimension,reverse_score,option_group,period,text_status
SDS,Zung SDS 抑郁自评量表,1,我感到情绪低落、忧郁,depression,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,2,我早晨的心情相对较好,positive_mood,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,3,我容易哭或想哭,depression,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,4,我夜间睡眠不好,sleep,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,5,我的食欲和平时差不多,appetite,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,6,我仍能享受与他人的亲密或社交互动,interest,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,7,我觉得体重有所下降,somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,8,我有便秘或胃肠不适问题,somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,9,我的心跳比平时快,anxiety_somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,10,我无缘无故感到疲劳,fatigue,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,11,我的头脑像平时一样清楚,cognition,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,12,我做事情像平时一样容易,function,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,13,我感到坐立不安，难以保持平静,agitation,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,14,我对未来抱有希望,hope,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,15,我比平时更容易烦躁,irritability,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,16,我觉得做决定并不困难,decision,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,17,我觉得自己是有用和被需要的,self_worth,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,18,我觉得生活是有意义的,meaning,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,19,我有过别人没有我会过得更好的想法,death_thought,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,20,我仍然喜欢平时喜欢的事情,interest,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
