scale_code,scale_name,question_no,question_text_cn,dimension,reverse_score,option_group,period,text_status
DASS21,DASS-21 抑郁-焦虑-压力量表,1,我觉得自己很难平静下来,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,2,我感觉口干或喉咙发干,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,3,我很难体验到积极、愉快的情绪,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,4,我出现过呼吸不顺或喘不过气的感觉,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,5,我觉得很难主动开始做事情,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,6,我对事情的反应比平时更强烈,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,7,我感觉身体发抖或手脚发颤,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,8,我觉得自己消耗了很多精神精力,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,9,我担心自己会惊慌或在别人面前失控,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,10,我觉得未来没有什么值得期待,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,11,我发现自己变得容易烦躁,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,12,我觉得很难放松下来,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,13,我感到情绪低落或沮丧,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,14,当别人打断或耽误我时，我很难忍受,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,15,我有接近惊恐或恐慌的感觉,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,16,我对很多事情都提不起兴趣,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,17,我觉得自己没有价值,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,18,我觉得自己比平时更容易被触怒,stress,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,19,我在没有明显运动时也会感觉心跳异常,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,20,我无明显原因地感到害怕,anxiety,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
DASS21,DASS-21 抑郁-焦虑-压力量表,21,我觉得生活缺少意义,depression,False,DASS_0_3,过去一周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,1,做事情时缺少兴趣或乐趣,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,2,感到情绪低落、沮丧或绝望,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
